protocol,domain,period,org,party
DNS,neu.edu,301,neu.edu,2
UDP,ff:ff:ff:ff:ff:ff,7416,ff:ff:ff:ff:ff:ff,3
TCP,fireoscaptiveportal.com,301,fireoscaptiveportal.com,3
TCP,acsechocaptiveportal.com,301,acsechocaptiveportal.com,3
TCP,ffs-provisioner-config.amazon-dss.com,90682,amazon-dss.com,1
TCP,msh.amazon.com,41177,amazon.com,1
TCP,prod.amcs-tachyon.com,91,"Amazon Technologies, Inc.",1
TCP,api.amazon.com,3500,amazon.com,1
TCP,d3p8zr0ffa9t17.cloudfront.net,310,"Amazon Technologies, Inc.",1
TCP,avs-alexa-14-na.amazon.com,30,amazon.com,1
TCP,device-messaging-na.amazon.com,86400,amazon.com,1
TCP,device-metrics-us-2.amazon.com,2460,amazon.com,1
TCP,arcus-uswest.amazon.com,86400,amazon.com,1
NTP,ntp-g7g.amazon.com,301,amazon.com,1
TCP,softwareupdates.amazon.com,180000,amazon.com,1
TCP,todo-ta-g7g.amazon.com,165600,amazon.com,1
